collegeCode,branchCode,branchName
AARM,CSE,COMPUTER SCIENCE AND ENGINEERING
AARM,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)
AARM,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING
AARM,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING
AARM,MEC,MECHANICAL ENGINEERING
ACEG,AID,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE
ACEG,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING
ACEG,CIV,CIVIL ENGINEERING
ACEG,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)
ACEG,CSE,COMPUTER SCIENCE AND ENGINEERING
ACEG,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)
ACEG,CSO,COMPUTER SCIENCE AND ENGINEERING (IOT)
ACEG,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING
ACEG,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING
ACEG,INF,INFORMATION TECHNOLOGY
ACEG,MEC,MECHANICAL ENGINEERING
AITH,CIV,CIVIL ENGINEERING
AITH,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)
AITH,CSE,COMPUTER SCIENCE AND ENGINEERING
AITH,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)
AITH,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING
AITH,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING
AITH,MEC,MECHANICAL ENGINEERING
AKIT,AIM,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING
AKIT,CIV,CIVIL ENGINEERING
AKIT,CSD,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE)
AKIT,CSE,COMPUTER SCIENCE AND ENGINEERING
AKIT,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING
AKIT,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING
AKIT,MEC,MECHANICAL ENGINEERING
AKIT,MIN,MINING ENGINEERING
ANRK,CIV,CIVIL ENGINEERING
ANRK,CSE,COMPUTER SCIENCE AND ENGINEERING
ANRK,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)
ANRK,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING
ANRK,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING
ANRK,INF,INFORMATION TECHNOLOGY
ANRK,MEC,MECHANICAL ENGINEERING
ANUG,AI,ARTIFICIAL INTELLIGENCE
ANUG,CIV,CIVIL ENGINEERING
ANUG,CSE,COMPUTER SCIENCE AND ENGINEERING
ANUG,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING
ANUG,EEE,ELECTRICAL AND ELECTRONICS ENGINEERING
ANUG,INF,INFORMATION TECHNOLOGY
ANUG,MEC,MECHANICAL ENGINEERING
ARJN,CIV,CIVIL ENGINEERING
ARJN,CSE,COMPUTER SCIENCE AND ENGINEERING
ARJN,CSM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)
ARJN,ECE,ELECTRONICS AND COMMUNICATION ENGINEERING
ASRA,CIV,CIVIL ENGINEERING
