collegeCode,collegeName,place,district,coEducation,collegeType,yearEstablished,tuitionFee,affiliatedTo
AARM,AAR MAHAVEER ENGINEERING COLLEGE,BANDLAGUDA,HYD,COED,PVT,,,JNTUH
ACEG,"A C E ENGINEERING COLLEGE
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,,,JNTUH
AITH,"ANNAMACHARYA INST OF TECHNOLOGY
AND SCI (AUTONOMOUS)",HAYATHNAGAR,RR,COED,PVT,,,JNTUH
AKIT,"ABDULKALAM INST OF TECHNOLOGY AND
SCI",KOTHAGUDEM,KGM,COED,PVT,,,JNTUH
ANRK,"ANURAG ENGINEERING COLLEGE
(AUTONOMOUS)",KODAD,SRP,COED,PVT,,,JNTUH
ANUG,"ANURAG UNIVERSITY (FORMERLY ANURAG
GRP OF INSTNS- CVSR COLL OF ENGG)",GHATKESAR,MDL,COED,PVT,,,"ANURAG
UNIVERSITY"
ARJN,"ARJUN COLLEGE OF TECHNOLOGY AND
SCIENCE (AUTONOMOUS)",BATASINGARAM,RR,COED,PVT,,,JNTUH
ASRA,"AVANTHIS SCIENTIFIC TECH AND RESEARCH
ACADEMY",HAYATHNAGAR,RR,COED,PVT,,,JNTUH
AURC,"AURORA SCIENTIFIC AND TECH RESEARCH
ACADEMY",HYDERABAD,HYD,COED,PVT,,,JNTUH
AURG,"AURORAS SCIENTIFIC AND TECHNOLOGICAL
INSTITUTE",GHATKESAR,MDL,COED,PVT,,,JNTUH
AURH,RAMAPPA ENGINEERING COLLEGE,HANAMKONDA,HNK,COED,PVT,,,JNTUH
AURK,"AURORA S TECHNOLOGICAL AND
MANAGEMENT ACADEMY",UPPAL,MDL,COED,PVT,,,JNTUH
AVIH,"AVANTHI INST OF ENGG AND TECHNOLOGY
(AUTONOMOUS)",HAYATHNAGAR,RR,COED,PVT,,,JNTUH
AVNI,"AVN INST OF ENGG TECHNOLOGY
(AUTONOMOUS)",IBRAHIMPATAN,RR,COED,PVT,,,JNTUH
BIET,"BHARAT INSTITUTE OF ENGG AND
TECHNOLOGY",IBRAHIMPATNAM,RR,COED,PVT,,,JNTUH
BITN,"BALAJI INSTITUTE OF TECHNOLOGY AND SCI
(AUTONOMOUS)",NARSAMPET,WGL,COED,PVT,,,JNTUH
BOMA,BOMMA INST OF TECHNOLOGY AND SCI,KHAMMAM,KHM,COED,PVT,,,JNTUH
BOSE,"ANU BOSE INSTT OF TECHNOLOGY FOR
WOMENS",PALONCHA,KGM,GIRLS,PVT,,,JNTUH
BREW,"BHOJREDDY ENGINEERING COLLEGE FOR
WOMEN",SAIDABAD,HYD,GIRLS,PVT,,,JNTUH
BRIG,"BRILLIANT GRAMMER SCHOOL EDNL SOC
GRP OF INSTNS (AUTONOMOUS)",HAYATHNAGAR,RR,COED,PVT,,,JNTUH
BRIL,"BRILLIANT INSTT OF ENGG AND
TECHNOLOGY (AUTONOMOUS)",HAYATHNAGAR,RR,COED,PVT,,,JNTUH
BSKR,BHASKAR ENGINEERING COLLEGE,YENKAPALLY,RR,COED,PVT,,,JNTUH
BVRI,B V RAJU INSTITUTE OF TECHNOLOGY,NARSAPUR,MED,COED,PVT,,,JNTUH
BVRW,"BVRIT COLLEGE OF ENGINEERING FOR
WOMEN (AUTONOMOUS)",BACHUPALLY,MDL,GIRLS,PVT,,,JNTUH
CASR,COLLEGE OF AGRICULTURAL ENGG,SANGAREDDY,SRD,COED,UNIV,,,PJTAU
CBIT,"CHAITANYA BHARATHI INSTITUTE OF
TECHNOLOGY",GANDIPET,RR,COED,PVT,,,OU
CDTK,COLLEGE OF DAIRY TECHNOLOGY,KAMAREDDY,KMR,COED,UNIV,,,PVNRTVU
CFSR,"COLLEGE OF FOOD SCIENCE AND
TECHNOLOGY",RUDRUR,NZB,COED,GOV,,,PJTAU
CHET,SRI CHAITANYA TECHNICAL CAMPUS,IBRAHIMPATAN,RR,COED,PVT,,,JNTUH
CHTN,"SREE CHAITANYA COLLEGE OF
ENGINEERING",KARIMNAGAR,KRM,COED,PVT,,,JNTUH
CHTS,"SREE CHAITANYA INST OF TECHNOLOGY
SCIENCES",KARIMNAGAR,KRM,COED,PVT,,,JNTUH
CMRG,CMR TECHNICAL CAMPUS (AUTONOMOUS),KANDLAKOYA,MDL,COED,PVT,,,JNTUH
CMRK,"C M R COLLEGE OF ENGG AND
TECHNOLOGY",KANDLAKOYA,MDL,COED,PVT,,,JNTUH
CMRM,"CMR INSTITUTE OF TECHNOLOGY
(AUTONOMOUS)",KANDLAKOYA,MDL,COED,PVT,,,JNTUH
CMRN,CMR ENGG COLLEGE (AUTONOMOUS),KANDLAKOYA,MDL,COED,PVT,,,JNTUH
CVRH,CVR COLLEGE OF ENGINEERING,IBRAHIMPATAN,RR,COED,PVT,,,JNTUH
CVSR,ANURAG UNIVERSITY (FORMERLY ANURAG GRP OF INSTNS- CVSR COLL OF ENGG),GHATKESAR,MDL,COED,PVT,2002.0,135.0,AG UNIVE
DARE,"DARIPALLY ANANTHA RAMULU COLLOF
ENGGAND TECH",KHAMMAM,KHM,COED,PVT,,,JNTUH
DRKC,D R K COLLEGE OF ENGINEERING AND TECHNOLOGY,BOWRAMPET,MDL,COED,PVT,2006.0,60000.0,JNTUH
DRKI,D R K INSTITUTE OF SCI AND TECHNOLOGY,BOWRAMPET,MDL,COED,PVT,,,JNTUH
ELEN,"ELLENKI COLLGE OF ENGG AND
TECHNOLOGY (AUTONOMOUS)",PATANCHERU,SRD,COED,PVT,,,JNTUH
ESUT,"KEAORTTHHA GSCUIDENEMCE)S UNIV OF TELANGANA
(FORMERLY K U COLLEGE OF ENGG",KOTHAGUDEM,KGM,COED,UNIV,,,ESUNIVTG
GATE,"GATE INSTITUTE OF TECHNOLOGYAND
SCIENCES",KODAD,SRP,COED,PVT,,,JNTUH
GCTC,"GEETANJALI COLLEGE OF ENGG AND
TECHNOLOGY (AUTONOMOUS)",KEESARA,MDL,COED,PVT,,,JNTUH
GKEM,G K INSTITUTE OF ENGG AND TECH,MAHABUBNAGAR,MBN,COED,PVT,,,JNTU
GLOB,"GLOBAL INST OF ENGINEERING AND
TECHNOLOGY (AUTONOMOUS)",CHILKUR,RR,COED,PVT,,,JNTUH
GLWC,"GOKARAJU LAILAVATHI ENGINEERING
COLLEGE",BACHUPALLY,MDL,COED,PVT,,,OU
GNIT,"GURUNANAK INST OF TECHNOLOGY
(AUTONOMOUS)",IBRAHIMPATAN,RR,COED,PVT,,,JNTUH
GNPT,GANAPATHI ENGINEERING COLLGE,WARANGAL,WGL,COED,PVT,2005.0,50000.0,JNTUH
GNTW,"G NARAYNAMMA INSTITUTE OF
TECHNOLOGY AND SCI",SHAIKPET,HYD,GIRLS,PVT,,,JNTUH
GRRR,"GOKARAJU RANGARAJU INSTITUTE OF
ENGG AND TECH (AUTONOMOUS)",BACHUPALLY,MDL,COED,PVT,,,JNTUH
GURU,"GURU NANAK INSTITUTIONS TECHNICAL
CAMPUS (AUTONOMOUS)",IBRAHIMPATAN,RR,COED,PVT,,,JNTUH
HITM,"HYDERABAD INST OF TECHNOLOGY AND
MGMT (AUTONOMOUS)",MEDCHAL,MDL,COED,PVT,,,JNTUH
HOLY,"HOLY MARY INSTITUTE OF TECH SCIENCE
(AUTONOMOUS)",KEESARA,MDL,COED,PVT,,,JNTUH
IARE,"INSTITUTE OF AERONAUTICAL
ENGINEERING",DUNDIGAL,MDL,COED,PVT,,,JNTUH
IITT,"INDUR INSTITUTE OF ENGINEERING AND
TECHNOLOGY",SIDDIPET,SDP,COED,PVT,,,JNTUH
INDI,"SRI INDU INSTITUTE OF ENGINEERING AND
TECHNOLOGY (AUTONOMOUS)",IBRAHIMPATAN,RR,COED,PVT,,,JNTUH
INDU,"SRI INDU COLLEGE OF ENGG AND
TECHNOLOGY",IBRAHIMPATAN,RR,COED,PVT,,,JNTUH
JAYA,"JAYAMUKHI INSTITUTE OF TECHNOLOGY
AND SCIS",NARSAMPET,WGL,COED,PVT,,,JNTUH
JBIT,J B INSTITUTE OF ENGG AND TECHNOLOGY,YENKAPALLY,RR,COED,PVT,,,JNTUH
JMTS,"JYOTHISHMATHI INSTITUTE OF
TECHNOLOGY AND SCI (AUTONOMOUS)",KARIMNAGAR,KRM,COED,PVT,,,JNTUH
JNKR,"JNTUH UNIVERSITY COLLEGE OF
ENGINEERING JAGITIAL (AUTONOMOUS)",JAGITIAL,JTL,COED,UNIV,,,JNTUH
JNMB,"JNTUH UNIVERSITY COLLEGE OF
ENGINEERING MAHABUBABAD",MAHABUBABAD,MHB,COED,UNIV,,,JNTUH
JNPL,"JNTUH UNIVERSITY COLLEGE OF
ENGINEERING PALAIR",PALAIR,KHM,COED,UNIV,,,JNTUH
JNTH,"JNTUH UNIVERSITY COLLEGE OF ENGG SCI
AND TECH HYDERABAD",HYDERABAD,MDL,COED,UNIV,,,JNTUH
JNTM,"JNTUH UNIVERSITY COLLEGE OF ENGG
MANTHANI",MANTHANI,PDL,COED,UNIV,,,JNTUH
JNTR,"JNTUH UNIVERSITY COLLEGE OF
ENGINEERING RAJANNA SIRCILLA","SAIGRRCAILHLAARAM
RAJANNA",SRC,COED,UNIV,,,JNTUH
JNTS,"JNTUH UNIVERSITY COLLEGE OF
ENGINEERING SULTANPUR",SULTANPUR,SRD,COED,UNIV,,,JNTUH
JNWN,"JNTUH UNIVERSITY COLLEGE OF
ENGINEERING WANAPARTHY","NARSINGAYAPALL
Y VILLAGE",WNP,COED,UNIV,,,JNTUH
JOGI,"JOGINPALLY B R ENGINEERING COLLEGE
(AUTONOMOUS)",YENKAPALLY,RR,COED,PVT,,,JNTUH
JPNE,"JAYA PRAKASH NARAYAN COLLEGE OF
ENGINEERING (AUTONOMOUS)",MAHABUBNAGAR,MBN,COED,PVT,,,JNTUH
KCEA,KSHATRIYA COLLEGE OF ENGINEERING,ARMOOR,NZB,COED,PVT,,,JNTUH
KDDW,"KODADA INST OF TECHNOLOGY AND
SCIENCE FOR WOMEN",KODADA,SRP,GIRLS,PVT,,,JNTUH
KGRH,"KG REDDY COLLEGE OF ENGG AND
TECHNOLOGY (AUTONOMOUS)",MOINABAD,RR,COED,PVT,,,JNTUH
KITS,"KAKATIYA INSTITUTE OF TECHNOLOGY AND
SCI",WARANGAL,HNK,COED,PVT,,,KU
KITW,"KAKATIYA INST OF TECHNOLOGY SCI FOR
WOMEN",NIZAMABAD,NZB,GIRLS,PVT,,,JNTUH
KLRT,"KLR COLLEGE OF ENGG AND TECHNOLOGY
(AUTONOMOUS)",PALONCHA,KGM,COED,PVT,,,JNTUH
KMCE,"KESHAV MEMORIAL COLLEGE OF
ENGINEERING",IBRAHIMPATAN,RR,COED,PVT,,,JNTUH
KMEC,KESHAV MEMORIAL ENGINEERING COLLEGE,"KACHWANISINGA
RAM",MDL,COED,PVT,,,OU
KMIT,KESHAV MEMORIAL INST OF TECHNOLOGY,NARAYANAGUDA,HYD,COED,PVT,,,JNTUH
KMTS,KHAMMAM INST OF TECHNOLOGY AND SCIENCE,KHAMMAM,KHM,COED,PVT,2008.0,65000.0,JNTUH
KNRR,"KASIREDDY NARAYANAREDDY COLL ENGG
RES (AUTONOMOUS)",HAYATHNAGAR,RR,COED,PVT,,,JNTUH
KPRC,"KPRIT COLLEGE OF ENGINEERING
(AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,,,OU
KPRT,"KOMMURI PRATAP REDDY INST OF
TECHNOLOGY (AUTONOMOUS)",GHATKESAR,MDL,COED,PVT,,,JNTUH
KSGI,"GOVERNMENT ENGINEERING COLLEGE
KOSGI",KOSGI,NPT,COED,GOV,,,JNTUH
KTKM,"KAMALA INSTITUTE OF TECHNOLOGY AND
SCIENCE (AUTONOMOUS)",HUZURABAD,KRM,COED,PVT,,,JNTUH
KUCE,K U COLLEGE OF ENGG KOTHAGUDEM,KOTHAGUDEM,KGM,COED,UNIV,1976.0,35000.0,KU
KUWL,"KU COLLEGE OF ENGINEERING AND
TECHNOLOGY",WARANGAL,HNK,COED,UNIV,,,KU
MDRK,"MADHIRA INSTITUTE OF TECHNOLOGY AND
SCI",KODAD,SRP,COED,PVT,,,JNTUH
MECS,"MATRUSRI ENGINEERING COLLEGE (
AUTONOMOUS)",HYDERABAD,HYD,COED,PVT,,,OU
METH,"METHODIST COLLEGE OF ENGINEERING
AND TECHNOLOGY (AUTONOMOUS)",ABIDS,HYD,COED,PVT,,,OU
MGHA,"MEGHA INST OF ENGG AND TECHNOLOGY
FOR WOMEN (AUTONOMOUS)",GHATKESAR,MDL,GIRLS,PVT,,,JNTUH
